rule,file_pattern,message_contains,severity_threshold,expiry,reason,approved_by,approved_date,ticket,status
# Sample Salesforce Code Analyzer waivers
# Format: rule,file_pattern,message_contains,severity_threshold,expiry,reason,approved_by,approved_date,ticket,status
# expiry format: DD-MM-YYYY (preferred), also accepts DD/MM/YYYY and YYYY-MM-DD
# status: ACTIVE or REVOKED (keep revoked rows for audit trail)

# Example specific waiver: ApexDoc rule for MyClass.cls
# ApexDoc,MyClass.cls,,3,31-12-2026,ApexDoc deferred for legacy component. Tracked in PROJ-123.,platform-team,01-12-2026,PROJ-123,ACTIVE

# Example global component waiver: all rules for a legacy file
# *,LegacyComponent.cls,,3,31-12-2026,Global component waiver — legacy system being deprecated. Tracked in PROJ-124.,platform-team,01-12-2026,PROJ-124,ACTIVE

# Example global rule waiver: specific rule across all files
# ApexDoc,*,,3,31-12-2026,Global rule waiver — ApexDoc deferred for sprint. Tracked in PROJ-125.,platform-team,01-12-2026,PROJ-125,ACTIVE

# Example LWC waiver
# no-unused-vars,/lwc/,,3,31-12-2026,Global rule for all LWC files — cleanup scheduled. Tracked in PROJ-126.,platform-team,01-12-2026,PROJ-126,ACTIVE
